FERIX Schlüssel	Artikelnr	Code	Faktor
G_POWER_ACDC_24VDC_2A5	9146		1
G_POWER_ACDC_24VDC_4A	9148		1
G_POWER_ACDC_24VDC_6A	9150		1
G_POWER_ACDC_24VDC_13A	9891		1
G_POWER_ACDC_24VDC_20A	9511		1
WK5_05_1.5_3000_P056.1	9428		1
WK5_05_1.5_5000_P056.2	9429		1
WK5_05_1.5_10000_P056.3	9430		1
WKK_CL_MDR_3000	9112	!GT	1
WKK_CL_MDR_5000	9114	!GT	1
WK2_26_127_TW_1000_P106.1	8041	MXLED	1
WK2_26_127_TW_3000_P106.2	8101	MXLED	1
WKK_D25_OP_PUR_10M_1.0	9887		1
WKK_D25_OP_PUR_15M_1.0	9886		1
WKK_D25_OP_PUR_20M_1.0	9547		1
WKK_D25_OP_PUR_25M_1.0	9548		1
WKK_D25_OP_PUR_30M_1.0	9549		1
WKK_D25_OP_PUR_35M_1.0	9550		1
WKK_D25_OP_PUR_40M_1.0	9877		1
WKK_D25_OP_PUR_45M_1.0	9551		1
V_CIS_260	9169	260	1
V_CIS_520	9170	520	1
V_CIS_780	9171	780	1
V_CIS_1040	9172	1040	1
V_CIS_1280	9927	1280	1
V_CIS_1560	9173	1560	1
V_CIS_2080	9174	2080	1
