FERIX Schlüssel	Artikelnr	Farbcode	Faktor	NL300	NL600	NL900	NL1200	NL1500	NL1800
FB_SMARAGD_INL	-144		1	1	2	3	4	5	6
FB_VADCFPGA_1.0_RevA	8842		1	1	2	3	4	5	6
FB_CPUCLINK_1.1_RevA	8838		1	1	1	1	1	1	1
FB_PTOPAAM_1.4_L	7929	AM	L	1	1	1	1	1	1
FB_PTOPAAM_1.4_SH	7931	AM	L	0	1	2	3	4	5
FB_PTOPAGRE_1.3_L	7467	GR	L	1	1	1	1	1	1
FB_PTOPAGRE_1.3_SH	7470	GR	L	0	1	2	3	4	5
FB_PTOPABLU_1.3_L	7472	BL	L	1	1	1	1	1	1
FB_PTOPABLU_1.3_SH	7474	BL	L	0	1	2	3	4	5
FB_PTOPARGB_1.3_L	7593	RGB	L	1	1	1	1	1	1
FB_PTOPARGB_1.3_SH	7596	RGB	L	0	1	2	3	4	5
FB_PTOPAWHI_1.3_L	7476	WH	L	1	1	1	1	1	1
FB_PTOPAWHI_1.3_SH	7478	WH	L	0	1	2	3	4	5
FB_PTOPAYEL_1.4_L	7935	YE	L	1	1	1	1	1	1
FB_PTOPAYEL_1.4_SH	7933	YE	L	0	1	2	3	4	5
FB_MLDIR850_1.1	7140	IR	L	2	3	4	5	6	7
CELTH_2200U_20%_50V	3356		L	1	2	3	4	5	6
FB_DIGITHERM_1.0	7422		1	2	2	2	2	2	2
FB_LASERDIO_1.0	8616		1	1	2	3	4	5	6
LED_LASER_RD_638NM_700MW	9262		1	2	4	6	8	10	12
WKS_VTCIS_0260	8707		1	1	0	0	0	0	0
WKS_VTCIS_0520	8600		1	0	1	0	0	0	0
WKS_VTCIS_0780	8708		1	0	0	1	0	0	0
WKS_VTCIS_1040	8054		1	0	0	0	1	0	0
WKS_VTCIS_1300	8796		1	0	0	0	0	1	0
WKS_VTCIS_1560	8797		1	0	0	0	0	0	1
WKS_VTCIS_260_2LED	8735	MONO	L==2	1	0	0	0	0	0
WKS_VTCIS_520_2LED	8736	MONO	L==2	0	1	0	0	0	0
WKS_VTCIS_780_2LED	8737	MONO	L==2	0	0	1	0	0	0
WKS_VTCIS_1040_2LED	8738	MONO	L==2	0	0	0	1	0	0
WKS_VTCIS_1300_2LED	8799	MONO	L==2	0	0	0	0	1	0
WKS_VTCIS_1560_2LED	8803	MONO	L==2	0	0	0	0	0	1
WKS_VTCIS_0260_2RGB	8743	RGB	L==2	1	0	0	0	0	0
WKS_VTCIS_0520_2RGB	8744	RGB	L==2	0	1	0	0	0	0
WKS_VTCIS_0780_2RGB	8745	RGB	L==2	0	0	1	0	0	0
WKS_VTCIS_1040_2RGB	8746	RGB	L==2	0	0	0	1	0	0
WKS_VTCIS_1300_2RGB	8801	RGB	L==2	0	0	0	0	1	0
WKS_VTCIS_1560_2RGB	8805	RGB	L==2	0	0	0	0	0	1
