Benennung	FERIX-Bezeichnung	Code	NL300	NL600	NL900	NL1200	NL1500	NL1800	ohne Licht	einfaches Licht	doppeltes Licht	2x diff. + 1x coax	coax
LED-Halter diff	MG_VDCIS_LEDHA1_NL300_SX_3.0		8968	8968	8968	8968	8968	8968	0	S	S	0	0
LED-Halter diff	MG_VDCIS_LEDHA2_NL300_SX_3.0		8969	8969	8969	8969	8969	8969	0	S	S	0	0
Reflexionsschutz 1	MG_VDCIS_REFLSCHU1_STD_PVC_1.0		9277	9277	9277	9277	9277	9277	S*14	S*14	S*14	S*14	S*14
Reflexionsschutz 2	MG_VDCIS_REFLSCHU2_STD_PVC_1.0		9278	9278	9278	9278	9278	9278	S*2	S*2	S*2	S*2	S*2
Linsen	OL_PCX_12R7_38,1_NBK7_0		8946	8946	8946	8946	8946	8946	S*16	S*16	S*16	S*16	S*16
Linsenträger	MG_VDCIS_LITRÄ_NL300_SX_1.0		8964	8964	8964	8964	8964	8964	1	1	1	1	1
Laserjustierung	MG_VDCIS_JULA_STD_SX_1.0		9236	9236	9236	9236	9236	9236	S*2	S*2	S*2	S*2	S*2
Strahlteiler	O_STRTEI_10X10X0,16		8769	8769	8769	8769	8769	8769	S*17	S*17	S*17	S*17	S*17
Spiegel	OP_SPIEGEL_9X9X1_FG_1VIS		8982	8982	8982	8982	8982	8982	S*4	S*4	S*4	S*4	S*4
Spiegelhalter	MG_VDCIS_SPIHA_STD_SX_1.0		8971	8971	8971	8971	8971	8971	S	S	S	S	S
Spiegelträger Laser	MG_VDCIS_SPITRLA_STD_SX_1.0		9237	9237	9237	9237	9237	9237	S	S	S	S	S
Blendenmagazin	MG_VDCIS_BLE_NL300_SX_1.2		9280	9280	9280	9280	9280	9280	S	S	S	S	S
Sensorhalter	MG_VDCIS_SETRÄ_NL300_SX_1.0		8965	8965	8965	8965	8965	8965	S	S	S	S	S
Deckel	MG_VDCIS_FERA_NL300_SX_1.0		8963	8963	8963	8963	8963	8963	S	S	S	S	S
Blechrückplatte	MG_VDCIS_BLERÜ_NL300_SX_1.0		8972	8972	8972	8972	8972	8972	S	S	S	S	S
Blechfenster	MG_VDCIS_BLEFE_NL300_SX_1.0		9238	9238	9238	9238	9238	9238	S	S	S	S	S
Verschlußplatte 1	MG_VDCIS_KON1_STD_SX_1.0		8966	8966	8966	8966	8966	8966	S	S	S	S	S
Verschlußplatte 2	MG_VDCIS_KON2_STD_SX_1.0		8967	8967	8967	8967	8967	8967	S	S	S	S	S
Steckerblech	MG_VDCIS_BLESTE_NL300_SX_1.0		8973	8973	8973	8973	8973	8973	S	S	S	S	S
Glasscheibe	MG_VDCIS_FENS_NL300_ES_1.0		9315	9315	9315	9315	9315	9315	S	S	S	S	S
Kühlkörper	MG_VTITM_KÜKÖ_STD_SX_1.0		9095	9095	9095	9095	9095	9095	S	S	S	S	S
Montagewürfel	MM_BE_M2.3/M3_9,5X5,0X5,0MM		4985	4985	4985	4985	4985	4985	S*6	S*6	S*6	S*6	S*6
Gewindeeinsatz	MM_GEEI_M5X7_VZ_CR		3203	3203	3203	3203	3203	3203	S*4	S*4	S*4	S*4	S*4
Temperaturindikator	X_Tempindi_4x12		3566	3566	3566	3566	3566	3566	1	1	1	1	1
Shockwatch	X_SHOCKWATCH_75G_Clip		5799						1	1	1	1	1
Shockwatch	X_SHOCKWATCH_50G_Clip			5798	5798	5798	5798	5798	1	1	1	1	1
Staubschutzkappe	X_15_STAUBSCHUTZKAP_SUBD_M		8751	8751	8751	8751	8751	8751	1	1	1	1	1
Staubschutzkappe	X_25_STAUBSCHUTZKAP_SUBD_M		8752	8752	8752	8752	8752	8752	1	1	1	1	1
Staubschutzkappe	X_25_STAUBSCHUTZKAP_SUBD_F		8753	8753	8753	8753	8753	8753	1	1	1	1	1
Staubschutzkappe	X_26_STAUBSCHUKAP_CL		5125	5125	5125	5125	5125	5125	2	2	2	2	2
Dichtschnur	HZ_RD_010_GL_U		2778	2778	2778	2778	2778	2778	N*2	N*2	N*2	N*2	N*2
Lichtschott Laserseite	MG_VDCIS_LISCHOLA_NL300_SX_1.0		9239	9239	9239	9239	9239	9239	1	1	1	1	1
Laserhalter	MG_VDCIS_LAHA_STD_PK_1.0		9235	9235	9235	9235	9235	9235	S*2	S*2	S*2	S*2	S*2
