FERIX Schlüssel	Artikelnr	Farbcode	Faktor	NL260	NL520	NL780
FB_SMARAGDOUB	7544		1	2	4	6
FB_VADCFPGA	8159		1	2	4	6
FB_CPUCLINK	8186		1	1	1	2
FB_PTOPAAM_1.3_L	7485	AM	L	1	1	1
FB_PTOPAAM_1.4_SH	7931	AM	L	0	1	2
FB_PTOPAGRE_1.3_L	7467	GR	L	1	1	1
FB_PTOPAGRE_1.3_SH	7470	GR	L	0	1	2
FB_PTOPABLU_1.3_L	7472	BL	L	1	1	1
FB_PTOPABLU_1.3_SH	7474	BL	L	0	1	2
FB_PTOPARGB_1.3_L	7593	RGB	L	1	1	1
FB_PTOPARGB_1.3_SH	7596	RGB	L	0	1	2
FB_PTOPAWHI_1.3_L	7476	WH	L	1	1	1
FB_PTOPAWHI_1.3_SH	7478	WH	L	0	1	2
FB_PTOPAYEL_1.3_L	7490	YE	L	1	1	1
FB_PTOPAYEL_1.3_SH	7492	YE	L	0	1	2
FB_MLDIR850_1.1	7140	IR	L	2	3	4
FB_MX_BUF_1.0	6145		L	1	1	1
WKS_VRCIS_VP_0260	7323		1	1	1	1
WKS_VRCIS_VP_0520	7324		1	1	1	1
WKS_VRCIS_VP_0780	7325		1	1	1	1
WKS_VRCIS_VP_1040	7326		1	1	1	1
WK1_02_0.14_400_P122.2	6172	MONO	L==1	1	1	1
WK1_03_0.14_400_P122.3	6173	MONO	L==2	1	1	1
WK1_04_0.14_P159.1	7315	MONO	L==3	1	1	1
WK1_04_0.14_400_P122.4	6174	RGB	L==1	1	1	1
WK1_07_0.14_400_P122.7	6177	RGB	L==2	1	1	1
WK1_04_0.14_P159.2	7318	RGB	L==3	1	1	1
