Benennung;FERIX-Bezeichnung;Code;NL260;NL390;NL520;NL650;NL780;NL910;NL1040;Kein Licht;einfaches Licht ;doppeltes Licht ;2x diff. + 1x coax;coax
U-Profil;MG_VSCIS_GEH_NLXXX_SX_1.2;;8094;;8093;;8092;;8091;1;1;1;1;1
LED-Halter diff;MG_VSCIS_LEDHA_NLXXX_SX_1.2;;8491;8490;8489;;8487;;8486;0;1;2;1;0
Linsenhalter;MG_VSCIS_LIHA_NLXXX_SX_1.1;;7738;;7737;;7736;;7710;1;1;1;1;1
Linsenjustage;MG_VSCIS_LIJU_NLXXX_SX_1.1;;7741;;7740;;7739;;7711;1;1;1;1;1
Sensorhalter;MG_VSCIS_SEHA_NLXXX_SX_1.1;;7745;;7744;;7743;;7712;1;1;1;1;1
Lichtschott Sensor;MG_VSCIS_LISCHO_NLXXX_SX_1.1;;7748;;7747;;7746;;7713;1;1;1;1;1
Spiegelträger;MG_VSCIS_SPITRÄ_NLXXX_SX_1.0;;7859;;7858;;7857;;7714;0;0;0;1;1
Adapter LED-Halter für coax;MG_VSCIS_ALEDHAC_NLXXX_SX_1.0;;7862;;7861;;7860;;7715;0;0;0;1;0
LED-Halter diff bei coax-Ausbau;MG_VSCIS_LEDHACD_NLXXX_SX_1.0;;7877;;7876;;7875;;7854;0;0;0;1;0
Lichtschott diff bei coax-Ausbau;MG_VSCIS_LISCHOD_NLXXX_SX_1.0;;7880;;7879;;7878;;7855;0;0;0;1;0
Lichtschott coax;MG_VSCIS_LISCHOC_NLXXX_SX_1.0;;7883;;7882;;7881;;7856;0;0;0;1;1
Verschlußplatten;MG_VSCIS_VSP_STD_SX_1.1;;8088;8088;8088;;8088;;8088;2;2;2;2;2
Deckel;MG_MIDICIS_DECK_NLXXX_SX_1.0;;7919;;7918;;7917;;7916;1;1;1;0;0
Deckel coax;MG_VSCIS_DECKC_NLXXX_SX_1.0;;7865;;7864;;7863;;7850;0;0;0;1;1
E-Box f�r 1xVARCIS C;MG_VRCIS_EGEH_NLXXX_SX_1.2;default;6976;;7034;;7040;;7038;1;1;1;1;1
E-Box f�r 1xVARCIS C;MG_VRCIS_EGEH_NLXXX_SX_1.2;FAIR;6976;;7034;;7040;;7038;1;1;1;1;1
E-Box f�r 1xVARICIS C ohne L�fter;MG_VSCIS_EGEHHOL�_NLXXX_SX_1.0;NOCO;7317;;8627;;8626;;8625;1;1;1;1;1
E-Box f�r 1xVARICIS C ohne L�fter;MG_VSCIS_EGEHHOL�_NLXXX_SX_1.0;PAIR;7317;;8627;;8626;;8625;1;1;1;1;1
E-Box f�r 1xVARICIS C ohne L�fter;MG_VSCIS_EGEHHOL�_NLXXX_SX_1.0;LICO;7317;;8627;;8626;;8625;1;1;1;1;1
Luftschott (ab NL780);MG_VRCIS_LUSCHO_STD_SX_1.0;;;;;;6917;;6917;1;1;1;1;1
Glasscheibe;MG_MIDICIS_GLASSCHDL_NLXXX_U_2;;4609;;4450;;;;5993;1;1;1;0;0
Glasscheibe;MG_VSCIS_FENS_NL780_U_1.0;;;;;;7921;;;1;1;1;0;0
Glasscheibe entspiegelt;MG_VSCIS_FENSC_NLXXX_ES_1.0;;7868;;7867;;7866;;7851;0;0;0;1;1
Lichtleiter coax;MG_VSCIS_LILEI_NLXXX_U_1.0;;7871;;7870;;7869;;7852;0;0;0;1;1
Umlenkspiegel;MG_VSCIS_UMSPI_NLXXX_U_1.0;;7874;;7873;;7872;;7853;0;0;0;1;1
Abstandshalter Shockwatch;MG_MIDICIS_AHASH_STD_SX_1.0;;5264;;5264;;5264;;5264;1;1;1;1;1
L�fter 40x40x10 ;ME_LÜ_AXIAL_40x40_24V;default;4419;;4419;;4419;;4419;S;S;S;S;S
L�fter 40x40x10 ;ME_LÜ_AXIAL_40x40_24V;FAIR;4419;;4419;;4419;;4419;S;S;S;S;S
Schutzgitter 40x40;ME_SCHUGILÜ_40x40;default;6886;;6886;;6886;;6886;S;S;S ;S;S
Schutzgitter 40x40;ME_SCHUGILÜ_40x40;FAIR;6886;;6886;;6886;;6886;S;S;S ;S;S
UNC-Bolzen CL (Stück);MM_IA_UNC4-40_03.8_CL_VZ;;3153;;3153;;3153;;3153;2;2;2;2;2
UNC-Bolzen SUB-D (Paar);MM_IA_UNC4-40_03.3_VZ;;3204;;3204;;3204;;3204;1;1;1;1;1
Abdeckung SUB-D 25 pol.;X_ABDECKFLANSCH_25;;5238;;5238;;5238;;5238;1;1;1;1;1
Staubschutzkappe CL;X_26_STAUBSCHUKAP_CL;;5125;;5125;;5125;;5125;1;1;1;1;1
Selfoc-Linse;O_TC48_09AG;MONO;7427;;7427;;7427;;7427;N+20;N+20;N+20;0;0
Selfoc-Linse;O_TC48_09AG;RGB;7427;;7427;;7427;;7427;N+20;N+20;N+20;0;0
Selfoc-Linse;O_TC54;;2893;;2893;;2893;;2893;0;0;0;N+20;N+20
K�hlk�rper 240mm;MF_KK_240x50x25_SX;PAIR;8629;;8629;;8629;;8629;2*S;2*S;2*S;2*S;2*S
Lüfter;ME_LÜ_AXIAL_40x40_24V;FAIR;4419;;4419;;4419;;4419;2*S;2*S;2*S;2*S;2*S
Kühlkörper;MF_KK_100x61,5x9,5_SX;FAIR;4420;;4420;;4420;;4420;2*S;2*S;2*S;2*S;2*S
Abdeckung  ;MF_ABDECKLAICK;FAIR;4421;;4421;;4421;;4421;2*S;2*S;2*S;2*S;2*S
Flüssigkeitskühlung;MF_FLÜKÜ_200/400/600/800_1.0;LICO;8149;;4989;;5275;;8151;2;2;2;2;2
Zwischenplatte FLÜKÜ;MF_ZWIPLAFK_200/400/600/800_1.0;LICO;8150;;4991;;5274;;8152;2;2;2;2;2
Einschraubverbindung G ¼;MK_ESCHRAUV_G_1/4;LICO;4988;;4988;;4988;;4988;8;8;8;8;8
Temperaturindikator;X_Tempindi_4x12;;3566;;3566;;3566;;3566;1;1;1;1;1
Shockwatch;X_Shockwatch_75G_Clip;;5799;;;;;;;1;1;1;1;1
Shockwatch;X_Shockwatch_50G_Clip;;;;5798;;5798;;5798;1;1;1;1;1
